생성시간	이미지	분류(1 = 장소, 2 = 건물 입구, 3 = 건물 엘베, 0 = 못 쓰는 정보)
2022-11-19 14:47:27	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054724_D5E3FB867EC54F84.jpeg	1
2022-11-19 14:47:50	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054748_96EC365EA02D448B.jpeg	1
2022-11-19 14:47:51	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054748_25B31B8B6A2D4458.jpeg	2
2022-11-19 14:47:52	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_478A334140DD48F3.jpeg	1
2022-11-19 14:47:52	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_60D4F52CBD074FEB.jpeg	1
2022-11-19 14:47:53	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_74F3676113EC4A97.jpeg	1
2022-11-19 14:47:56	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_8029FA163B6949C9.jpeg	2
2022-11-19 14:47:56	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_BC2F0CE2D290473B.jpeg	2
2022-11-19 14:47:57	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_2C7EE62D65154AA9.jpeg	2
2022-11-19 14:47:58	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054745_CA0D8FA9FF3F456C.jpeg	3
2022-11-19 14:48:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054832_B5E3F05B53D04BD0.jpeg	1
2022-11-19 14:49:00	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054857_A1CBD2C60D944B1D.jpeg	1
2022-11-19 14:49:02	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054857_86F1280BB202457F.jpeg	2
2022-11-19 14:49:03	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054857_F1DAF76A028E4FBF.jpeg	3
2022-11-19 14:49:07	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_07FC88E9F6074833.jpeg	1
2022-11-19 14:49:07	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_B138375F13034AB1.jpeg	3
2022-11-19 14:49:07	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_F83E7811E8CB458F.jpeg	2
2022-11-19 14:49:08	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_37FBE52053F24AE5.jpeg	2
2022-11-19 14:49:08	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_E29C627FB5A24F38.jpeg	2
2022-11-19 14:49:11	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_0FB2B479A1B24276.jpeg	1
2022-11-19 14:49:11	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_1A6B3C2DF3AA47DB.jpeg	1
2022-11-19 14:49:11	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054906_A5869024ADA14BE6.jpeg	1
2022-11-19 14:50:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055036_101778F4FF50410A.jpeg	1
2022-11-19 14:50:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055036_60C1C31B21B54124.jpeg	1
2022-11-19 14:50:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055036_F823AF42285F446C.jpeg	1
2022-11-19 14:50:38	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055035_E005A88B2DF649C2.jpeg	1
2022-11-19 14:50:39	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055035_0DA8E51C07CD48C1.jpeg	3
2022-11-19 14:50:39	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055035_BDF5BC258F0040D2.jpeg	2
2022-11-19 14:51:21	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055118_6F0107302B9840CF.jpeg	1
2022-11-19 14:51:21	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055118_CB8E5D2A6AF14247.jpeg	1
2022-11-19 14:51:36	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055118_B650657758AA40DF.jpeg	2
2022-11-19 14:51:36	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055118_DE2E56DCA1F34873.jpeg	2
2022-11-19 14:51:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055118_F1F47E6741584EF1.jpeg	3
2022-11-19 14:51:54	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_8FDCC865AF2E405D.jpeg	2
2022-11-19 14:51:54	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_F8C87E0151DF4CA1.jpeg	1
2022-11-19 14:51:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_34656DD0E9344299.jpeg	1
2022-11-19 14:51:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_7C6E474710B641CA.jpeg	3
2022-11-19 14:51:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_844FC4E2F9F44FF7.jpeg	1
2022-11-19 14:51:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055151_BB5315A820654855.jpeg	1
2022-11-19 14:52:06	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055157_1D08E7820B744AEA.jpeg	1
